Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Refugees,Asylum-seekers,IDPs,Other people in need of international protection,Stateless persons,Host community,Others of concern
2015 - 2019,Nepal, ,NPL,,STA,"Various studies estimate that a large number of individuals lack citizenship certificates in Nepal. While these individuals are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation.",,,,,,,
2017,Syrian Arab Rep.,Iraq,SYR,IRQ,"REF,STA","Refugee figure for Iraqis was a Government estimate. UNHCR has registered and is assisting 16,300 Iraqis at the end of 2017. Figure for stateless persons is an estimate.",,,,,,,
2024,Bulgaria, ,BGR,,REF,"No official data on the actual number of refugees residing in Bulgaria is available. The estimate includes 74,300 Ukrainians who received temporary protection, and 34,400 other refugees.",,,,,,,
2016,United Kingdom of Great Britain and Northern Ireland, ,GBR,,ASY,Asylum applications and pending figures are adjusted with the average number of person per case(1.3).,,,,,,,
2023,Tajikistan, ,TJK,,STA,"Figure is based on a registration exercise in 2015 in three regions, leading to the registration of 842 people as stateless by the Ministry of Internal Affairs of Tajikistan.The additional 2,985 persons reflects individuals identified by UNHCR partners as at risk of statelessness or with undetermined nationality awaiting a solution from the government, as well as individuals who obtained residency permits for stateless persons reported by UNHCR partners.",,,,,,,
2019,Kyrgyzstan, ,KGZ,,STA,All 58 persons were in the final stages of naturalization or citizenship confirmation formalities.,,,,,,,
2023,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,"The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. As of 2023, the total number of individuals recognised under UK’s statelessness determination procedure is 362. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.The number of 'stateless' asylum-seekers in the UK awaiting a decision has been revised, following decisions on their asylum claims during the year.",,,,,,,
2024 - 2025,Italy, ,ITA,,STA,"The stateless statistics figure is a combination of data published by the National Institute of Statistics (570 as of 1 January 2024), as well as estimates from NGOs on the number of persons who are stateless or at risk of statelessness present in Italy.",,,,,,,
2022 - 2023,Colombia,Colombia,COL,COL,OOC,The figure of others of concern has been provided by the Government of Colombia.,,,,,,,
2018,Singapore, ,SGP,,STA,"Stateless persons include persons who came from other countries to live and work in Singapore and lost their foreign citizenship over time, and children born in Singapore but not eligible for Singapore Citizenship at birth and whose parents confer nationality to them.",,,,,,,
2024 - 2025,Syrian Arab Rep., ,SYR,,STA,"According to some reports many stateless persons have been naturalized since 2011, but no official figures are yet confirmed. The reported figures will be reviewed as more information becomes available.",,,,,,,
"2021, 2023 - 2025",Cote d'Ivoire, ,CIV,,STA,The statelessness figure is based on a 2019 mapping study jointly conducted by the Government and UNHCR.,,,,,,,
2022,Russian Federation, ,RUS,,STA,"By the end of 2021, UNHCR reported 54,025 stateless persons in the Russian Federation. This estimation was based on the number of self-proclaimed stateless persons identified during the 2010 census (178,000), from whom the number of persons who obtained Russian citizenship throughout the reporting periods was subtracted on a yearly basis since 2011. According to the results of the 2020 All-Russia Census finalized at end 2022, some 95,193 persons declared themselves stateless and this figure was taken as a baseline for statistics on statelessness for 2022, causing an increase of 41,139 in estimated statelessness population figures for Russia compared to end-2021 (but still a decrease compared to latest Census).",,,,,,,
2020,Italy, ,ITA,,REF,"In 2020, the refugee estimates were updated using the data provided by ISTAT for 2019, augmented with the decisions on asylum applications provided by the Ministry of Interior in 2020. The ISTAT statistics provide the total number of people with valid refugee residence permits, disaggregated for the 50 most common countries of origins. This resulted in a reduction in the start-year refugee population of 91,200 refugees.",,,,,,,
2024 - 2025,Iceland, ,ISL,,REF,"With regards to refugee statistics, since 2024 the number of refugees in Iceland are based on data reported by authorities of persons with valid residence permits issued on the basis of international protection, subsidiary protection, resettlement or family reasons and adding beneficiaries of temporary protection. It does not include refugees who have been granted permanent residence permits. The figures replace previous refugee stock estimations conducted by UNHCR.",,,,,,,
2017,Bangladesh, ,BGD,,STA,"The figure reported under “Stateless people including displaced Rohingya population from Myanmar” relates to stateless persons who are also refugees from Myanmar, mainly from Rakhine State. This figure exceptionally includes 932,204 stateless refugees who are also counted in the column under “Refugees” in Annex Table 1. UNHCR’s statistical reporting currently follows a methodology that reports on one legal status as a person of concern only. However, due to the extraordinary size of the newly displaced stateless population in Bangladesh, UNHCR considered it important to reflect, on an exceptional basis, the dual status that this population group possesses as both refugees and stateless persons as to do otherwise might convey the mistaken impression that the overall number of stateless persons has declined significantly. For more information on UNHCR’s approach in reporting on this population group, please refer to the text box on p. 53 of Global Trends 2017 report.",,,,,,,
2023,Cambodia, ,KHM,,STA,The figure is based on an estimate provided in 2020 of ethnic Vietnamese persons whose legal identity documents were withdrawn and whose nationality is undetermined.,,,,,,,
2025,Russian Federation, ,RUS,,REF,"The figure for the Russian Federation includes 6,121 Ukrainians who were granted refugee or temporary asylum status by March-2025. Moreover, as of mid-2023 an estimated 1.2 million Ukrainians were recorded in the Russian Federation under different legal forms of stay (other than refugee or temporary asylum status) and reported by UNHCR as persons in a refugee-like situation. However, this figure has not been updated since June 2023, and therefore can no longer be included in UNHCR’s official statistics.",,,,,,,
2020 - 2022,Iraq, ,IRQ,,STA,"Pending a more accurate study into statelessness in Iraq, the estimated reduction of stateless persons in Iraq has been adjusted to reflect the reduction of statelessness in line with Law 26 of 2006, which allows stateless persons to apply for nationality in certain circumstances.",,,,,,,
2016 - 2018,Zimbabwe, ,ZWE,,STA,A study is being pursued to provide a revised estimate of statelessness figure.,,,,,,,
2019,Ukraine, ,UKR,,STA,"The numbers reported in Ukraine are an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 5,642 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",,,,,,,
2016 - 2018,Cote d'Ivoire, ,CIV,,STA,The statelessness figure is based on a Government estimate of individuals who themselves or whose parents or grandparents migrated to Côte d’Ivoire before or just after independence and who did not establish their nationality at independence or before the nationality law changed in 1972. The estimate is derived in part from cases denied voter registration in 2010 because electoral authorities could not determine their nationality at the time. The estimation is adjusted to reflect the number of persons who acquired nationality through the special ‘acquisition of nationality by declaration’ procedure until end of 2016. The estimate does not include individuals of unknown parentage who were abandoned as children and who are not considered as nationals under Ivorian law.,,,,,,,
2016,Syrian Arab Rep.,Iraq,SYR,IRQ,REF,"Refugee figure for Iraqis in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 16,900 Iraqis at the end of 2016.",,,,,,,
2021 - 2022,Nauru, ,NRU,,STA,"The figures reported reflects stateless persons of Rohingya ethnicity who are also counted as refugees from Myanmar, mainly from Rakhine State. The figure reflected does not represent an estimation of the entire stateless population.",,,,,,,
2015,Bangladesh,Myanmar,BGD,MMR,REF,"The total figure at the end of 2015 includes 243,000 persons in Bangladesh originating from Myanmar in a refugee-like situation. The Government of Bangladesh estimates the population to be between 300,000 and 500,000.",,,,,,,
2024 - 2025,Afghanistan, ,AFG,,STA,"Some information about stateless persons in the country is available, however it is not yet sufficiently reliable to produce estimates of the size of the population.",,,,,,,
2018,Slovenia, ,SVN,,STA,The figure is based on an NGO analysis of government data and may not represent the full magnitude of statelessness in Slovenia.,,,,,,,
2024,United Kingdom of Great Britain and Northern Ireland, ,GBR,,REF,"Official statistics on the size of the refugee population are not available. UNHCR refugee population estimates is based on the cumulative number of recognized asylum-seekers over the past 10 years, plus the reported number of beneficiaries of Temporary Protection in the country by end-2024.",,,,,,,
2021,Iran (Islamic Rep. of), ,IRN,,STA,"The figures reported reflects stateless persons of Rohingya ethnicity who are also counted as refugees from Myanmar, mainly from Rakhine State.  The figure reflected does not represent an estimation of the entire stateless population.",,,,,,,
2016,Myanmar, ,MMR,,"STA,IDP","The figure of persons of concern under the statelessness mandate relates to stateless persons in Rakhine State and persons of undetermined nationality residing in other States in Myanmar. The figure of stateless persons in Rakhine State has been estimated on the basis of the 2014 census report. It does not include an estimated 147,000 stateless IDPs, persons in an IDP-like situation who are also of concern under the statelessness mandate because they are already included within the figures on IDPs. In Rakhine State, the total number of stateless persons is estimated to be approximately one million. Revisions have been made to reduce the number of stateless persons due to departures to Bangladesh after October 2016. Outside of Rakhine State, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, whose citizenship has not yet been confirmed.",,,,,,,
2024,Azerbaijan, ,AZE,,STA,"In 2023, UNHCR conducted an extensive identification exercise of stateless persons in Azerbaijan using both government and UNHCR registers. The exercise was able to account for 513 stateless person, which was used as the start year figure. During 2024, 306 individuals at risk of statelessness were able to acquire citizenship. Additional persons of undetermined nationality were identified during the year, resulting in a total of 271 stateless persons in the country at end-year based on information from the State Migration Service, the Ministry of Internal Affairs and UNHCR.",,,,,,,
2019 - 2025,Saudi Arabia, ,SAU,,STA,UNHCR is verifying the number of stateless persons with the Government of Saudi Arabia.,,,,,,,
2015,Myanmar, ,MMR,,STA,"Figure of Stateless persons was estimated from the 2014 census. It does not include an estimated 151,921 stateless IDPs, persons in an IDP-like situation who are also of concern under the statelessness mandate because they are already included within the figures on IDPs.In Rakhine State it is estimated to be approximately one million.",,,,,,,
2015 - 2017,Croatia, ,HRV,,STA,Figure from the 2011 census. It includes 23 persons registered as stateless by the Government of Croatia.,,,,,,,
2020,Yemen, ,YEM,,REF,"The reduction of about 109,400 is due to improved estimates of Somali refugees in Yemen. Starting in September 2020, UNHCR has been working with the authorities and other actors to improve estimates of refugee and asylum-seeker statistics in Yemen.",,,,,,,
2019 - 2021,Australia, ,AUS,,REF,The methodology for estimating the number of refugees in Australia is under review and subject to adjustment in future reports. The asylum-seeker figure is based on the number of applications lodged for protection visas.,,,,,,,
2024,Spain, ,ESP,,REF,"The number of refugees was re-calculated based on the refugee data, as provided by the government. The overall figures for Spain include refugee status (8%), subsidiary protection (9%), temporary protection (51%) and humanitarian reasons (32%).",,,,,,,
2024,Montenegro, ,MNE,,REF,Estimates of the number of Ukrainians in a refugee-like situation in Montenegro were revised.,,,,,,,
2024,India, ,IND,,STA,"The total statelessness figure reported relates to 23,262 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. The reported figure does not represent an estimate of the entire stateless population.",,,,,,,
2021,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,"The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. At the end of 2021, the total number of individuals recognised under UK’s statelessness determination procedure is 258. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.",,,,,,,
2020,India, ,IND,,STA,"The total statelessness figure reported relates to 18,174 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach was used for India for the first time in 2019. The reported figure does not represent an estimate of the entire stateless population.",,,,,,,
2020,Iran (Islamic Rep. of), ,IRN,,REF,"In October 2020, UNHCR Iran received the data on total number of refugees from the Government of the Islamic Republic of Iran, on which consultations are ongoing. According to it, 800,000 refugee card holders reside in the Islamic Republic of Iran, 780,000 of whom are Afghans and 20,000 Iraqis. The last time the Iranian Government had shared information on Afghan refugee population was in May 2015, when according to it 951,410 Afghan refugees resided in Iran; the Iraqi refugee population data was shared in 2013, and according to it 28,268 Iraqi refugees resided in Iran. UNHCR is in consultations with the authorities to understand the reasons behind the decrease reported in 2020 data (170,081 for Afghan refugees and 8,268 for Iraqi refugees).",,,,,,,
2021,Nepal, ,NPL,,STA,"Various studies estimate that a significant number of individuals originally from Nepal lack citizenship certificates. While these individuals originally from Nepal are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation. 465 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State, are reported in Nepal.",,,,,,,
2024,Libya, ,LBY,,"REF,ASY,IDP,STA,OOC,HST,OIP","The increase in the number of refugees and asylum-seekers in Libya is due to the arrival in 2024 of a total of  228,800 Sudanese. Almost 30,800 of them were registered as asylum-seekers by UNHCR and the remaining 198,000 are estimated based on the issuance of health cards in areas outside of Tripoli and reported as people in a refugee-like situation.",,,,,,,
2018,Kenya, ,KEN,,STA,"The figure of 18,500 is an estimate by UNHCR with input from stateless communities.",,,,,,,
2023 - 2024,Ukraine, ,UKR,,OOC,"The others of concern figure corresponds to the number of conflict-affected, non-displaced people assisted by UNHCR during the year.",,,,,,,
2025,Denmark, ,DNK,,STA,"With regards to stateless statistics, the figures include: (a) the number of stateless asylum seekers at end-year reported by the Danish authorities; (b) the number of stateless refugees at year-end with valid residence permit as of 1 January 2025 and increases (e.g. recognitions) or decreases (e.g. refugee status cessation) through the year as reported by Danish authorities; and (c) the number of non-displaced stateless persons (those with other non-protection related types of permits) based on data from Statistics Denmark corresponding to the resident population recorded as ""Stateless"" as of 1 July 2025, deducting the estimated number of stateless refugees at year-end",,,,,,,
2024,Tajikistan, ,TJK,,REF,"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 2,300 people of various origins in Tajikistan who may be in need of international protection.",,,,,,,
2017,Myanmar, ,MMR,,STA,"The figure reported under “Stateless people including displaced Rohingya population from Myanmar”  relates to stateless persons in Rakhine State and persons of undetermined nationality residing in other States in Myanmar. This figure exceptionally  include 125,575 stateless IDPs who are also counted in the column under “IDPs protected/assisted by UNHCR, including people in IDP-like situations” in Annex Table 1. Outside of Rakhine State, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, whose citizenship has not yet been confirmed. The number of stateless persons in Rakhine State was estimated to be approximately one million at the end of 2016. Following large-scale departures to Bangladesh in 2017, the number of stateless persons in Rakhine State (470,000) has significantly declined in comparison to the numbers reported in 2016 and previous years. UNHCR’s statistical reporting currently follows a methodology that reports on one legal status as a person of concern only. However, due to the extraordinary size of the newly displaced stateless population in Bangladesh and within Myanmar, UNHCR considered it important to reflect, on an exceptional basis, the dual status that this population group possesses as both IDPs and stateless persons as to do otherwise might convey the mistaken impression that the overall number of stateless persons has declined significantly. For more information on UNHCR’s approach in reporting on this population group, please refer to the text box on p. 53 of Global Trends 2017 report.",,,,,,,
2015 - 2022,Portugal, ,PRT,,STA,Updated figure from the Portuguese Immigration Service referring to 2013.,,,,,,,
2025,Tajikistan, ,TJK,,REF,"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 1,900 people of various origins in Tajikistan who may be in need of international protection",,,,,,,
2021,Thailand, ,THA,,STA,"The total statelessness figure includes 561,329 non-displaced stateless persons reported by the Royal Thai Government and registered with the national civil registration system as of December 2021. The figure includes 198 stateless persons of Rohingya ethnicity from Myanmar who are also counted as others of concern to UNHCR.",,,,,,,
2020,Uzbekistan, ,UZB,,STA,The statelessness figure refers to stateless persons with permanent residence reported by the Government of Uzbekistan in November 2020 under the XII Report on compliance of Uzbekistan with CERD. Information on other categories of statelessness is unavailable.,,,,,,,
2018,Latvia, ,LVA,,STA,"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 174 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 224,670 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",,,,,,,
2022,Rwanda, ,RWA,,ASY,"Statistics on asylum applications and decisions processed by the government of Rwanda are reported by UNHCR based on information shared by Government of Rwanda. The comprehensive data is however only available with the government of Rwanda. 
Please also note, that small figures have been redacted for data protection reasons. Among asylum applications decided upon by the government of Rwanda, the total number of recognised asylum-seekers in 2022 was 41, while 103 applications were rejected and 27 cased were otherwise closed. 
Statistics on applications and decisions processed by UNHCR, reflect case processing for the purpose of durable solutions as part of the Emergency Transit Mechanism (ETM).",,,,,,,
2022,Russian Federation, ,RUS,,REF,"The figure for the Russian Federation includes 65,400 Ukrainians who were granted refugee or temporary asylum status, as well as those recorded in the country in 2022 under other forms of stay.",,,,,,,
2023,Turkmenistan, ,TKM,,STA,"In January 2024, the Government of Turkmenistan released for the first time ever official statistical information on stateless persons. Previously, in the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. Given the discrepancies between partner organizations figures and official figures as of 31 Dec 2023, UNHCR plans to continue crosschecking of partners’ database with the Turkmen authorities in 2024 in order to ensure accurate reporting for 2024. The decrease in the reported figure corresponds to those people who were naturalized or who had another nationality confirmed.",,,,,,,
2022, , ,,,IDP,"When presenting statistics on internal displacement, UNHCR applies two different sources: the Internal Displacement Monitoring Centre’s IDP statistics are incorporated in the total forcibly displaced while those IDPs protected/assisted by UNHCR are included in the total population that UNHCR protects and/or assists.  The two sources of IDP data vary significantly in certain countries.",,,,,,,
2024 - 2025,Croatia, ,HRV,,STA,"Figures include persons at risk of statelessness (undetermined nationality) on the basis of the 2022 census, stateless persons registered with the Croatian Ministry of the Interior and information on stateless refugees and asylum-seekers reported by the Ministry of Interior.",,,,,,,
2017,Uzbekistan, ,UZB,,STA,"The statelessness figure refers to stateless persons with permanent residence reported by the Government in 2010. The figure has been adjusted provided that citizenship of Uzbekistan was granted to 1,148 persons since December 2016. Information on other categories of stateless persons is not available.",,,,,,,
2015,Uzbekistan, ,UZB,,STA,Figure refers to stateless persons with permanent residence reported by the Government in 2010. Information on other categories of stateless persons is not available.,,,,,,,
2022,United States of America, ,USA,,REF,"An improved methodology to estimate the number of refugees hosted in the United States of America, using official statistics from US Citizenship and Immigration Services, led to a decrease of the refugee stock within the country.",,,,,,,
2017,Luxembourg, ,LUX,,REF,Refugee figure relate to the end of 2016.,,,,,,,
2021,India, ,IND,,STA,"The total statelessness figure reported relates to 20,154 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. The reported figure does not represent an estimate of the entire stateless population.",,,,,,,
2017 - 2022,United Kingdom of Great Britain and Northern Ireland, ,GBR,,ASY,"Asylum applications which are reported as cases can be multiplied overall by average number of person per case of 1.3 when summarising the data by country of asylum, but not origin.  This is due to the significant variance in the average case size by country of origin.",,,,,,,
2020,Bulgaria, ,BGR,,REF,"No official data on the actual number of refugees residing in Bulgaria is available. According to estimates, between 1,000 and 2,000 refugees and humanitarian status holders remain in the country. It is expected that the 2021 National Census, which will include the first-time refugee and stateless populations, will provide more accurate data.",,,,,,,
2023,Nepal, ,NPL,,STA,"Various studies estimate that a significant number of individuals originally from Nepal lack citizenship certificates. While these individuals originally from Nepal are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation. 489 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State, are reported in Nepal.",,,,,,,
2018,Belgium, ,BEL,,REF,Refugee figure related to the end of 2016.,,,,,,,
2016,Myanmar, ,MMR,,STA,"Figure relates to stateless persons in Rakhine State and persons of undetermined nationality residing in other states in Myanmar. The figure of stateless persons in Rakhine State has been estimated on the basis of the 2014 census report. It does not include an estimated 147,000 stateless IDPs, persons in an IDP-like situation who are also of concern under the statelessness mandate because they are already included within the figures on IDPs. In Rakhine State, the total number of stateless persons is estimated to be approximately one million. Revisions have been made to reduce the number of stateless persons due to departures to Bangladesh after October 2016. Outside of Rakhine State, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, whose citizenship has not yet been confirmed.",,,,,,,
2015,Philippines, ,PHL,,STA,The updated figure is based on a registration exercise covering 24 municipalities in 2014 and 2015.,,,,,,,
2021,Belgium, ,BEL,,STA,"Belgium includes a 'stateless' category in its National Registry, which records people who have been recognised as stateless and issued long-term residence permits in Belgium. There are also stateless people who are not counted in the National Registry data, for example, people awaiting determination of their statelessness, people recognised as stateless but not granted a residence permit, stateless people holding a short-term residence permit, and stateless people in the asylum procedure.",,,,,,,
2023,India, ,IND,,STA,"The total statelessness figure reported relates to 22,646 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. The reported figure does not represent an estimate of the entire stateless population.",,,,,,,
2024 - 2025,Uganda, ,UGA,,STA,"The figure is based on the 2024 National Housing & Population Census report which shows that there are 10,284 persons who identified themselves as members of indigenous communities, namely Bagabu, Bakingwe, Benet and Maragoli, that are not listed as nationals of Uganda in the Third Schedule to the Constitution. However, this may not represent the entirety of the stateless population in the country.",,,,,,,
2020,Ukraine, ,UKR,,STA,"The numbers reported in Ukraine are an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 5,815 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",,,,,,,
2025,Libya, ,LBY,,REF,"The increase in the number of refugees and asylum-seekers in Libya is due to the arrival in the first half of 2025 of a total of 130,500 Sudanese. Almost 15,500 of them were registered as asylum-seekers by UNHCR in 2025. A further 313,000 Sudanese are reported as people in a refugee-like situation based on estimates derived from the the issuance of health cards in areas outside of Tripoli.",,,,,,,
2024,France, ,FRA,,STA,The decrease in the stateless population in France between 2023 and 2024 is due to de-duplication of figures reported in previous years.,,,,,,,
2020,Italy, ,ITA,,STA,"This figure is a combination of data published by the National Institute of Statistics (550 as of 1 January 2020), as well as estimates from NGOs on the number of persons who are stateless or at risk of statelessness present in Italy. The estimate number of stateless persons in Italy used to be between 3,000 to 15,000, and was reviewed in 2021 following the publication of the report of the Association 21 luglio “Fantasmi Urbani” (https://www.21luglio.org/2018/wp-content/uploads/2021/02/fantasmi-urbani-edit.pdf).",,,,,,,
2015 - 2025, ,United States of America,,USA,"REF,ASY",A limited number of countries record refugee and asylum statistics by country of birth rather than country of origin. This affects the number of refugees reported as originating from the United States of America.,,,,,,,
2020,Thailand, ,THA,,STA,"The total statelessness figure includes 480,549 non-displaced stateless persons reported by the Royal Thai Government and registered with the national civil registration system as of December 2020. The figure includes 119 stateless persons of Rohingya ethnicity from Myanmar who are also counted as others of concern to UNHCR. UNHCR’s statistical reporting generally follows a methodology that reports only one status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as others of concern to UNHCR and stateless. This approach has been used for Thailand for the first time in 2019.",,,,,,,
2018,Belgium, ,BEL,,REF,The refugee figure relates to the end of 2016.,,,,,,,
2015,Zimbabwe, ,ZWE,,STA,The figure is an estimate and currently under review.,,,,,,,
2024,Turkmenistan, ,TKM,,STA,"In October 2024, the Government of Turkmenistan announced the resolution of all known cases of statelessness in the country, following the naturalization of a final group of 1,146 stateless people in September 2024. In February 2025, the Government reported that, as of 31 December 2024, there were no remaining stateless people in Turkmenistan. Since 2017, UNHCR has relied on figures reported by its partner organizations, as official statistical data was not made available by the authorities. In 2023, UNHCR partners launched a verification exercise to cross-check their database on stateless persons and those with undetermined nationality. This process continued in 2024 and confirmed the Government’s report. As part of the exercise, individuals were contacted to verify their current legal status. The findings showed that many had been naturalized in recent years, some had confirmed foreign nationality, and others had passed away. This verification exercise, combined with the official information provided by the Government, confirms that there are now zero officially registered stateless people in Turkmenistan. The decrease in the reported figure corresponds to those people who were naturalized or who had another nationality confirmed.",,,,,,,
2015,Dem. Rep. of the Congo,Rwanda,COD,RWA,REF,"The number of Rwandan refugees in the Democratic Republic of the Congo is subject to change based on an ongoing registration exercise. The figure 245,000 was provided by the Government of Democratic Republic of the Congo.",,,,,,,
2023,Spain, ,ESP,,STA,"The figures for stateless individuals in Spain represent the 8,525 individuals recognized through the Spanish stateless determination procedure under the 1954 Convention relating to the Status of Stateless Persons, as well as 39 stateless refugees and 15 stateless asylum-seekers. Source: Permanent Observatory on Immigration, Spanish Ministry of Inclusion, Social Security and Migration.",,,,,,,
2025,Egypt, ,EGY,,"ASY,REF",The Government of Egypt reported 1.5 million Sudanese people having arrived in the country since the onset of the crisis. See also the Sudan Situation on the Operational Data Portal.,,,,,,,
2025,Kyrgyzstan, ,KGZ,,STA,58 persons were naturalized or granted citizenship in the first half of 2025. Since December 2021 the data on number of staleless persons is provided by the Government.,,,,,,,
2023,Greece, ,GRC,,STA,In situ figure based on the 2021 census. Figures for stateless refugees and stateless asylum-seekers have been de-duplicated from census data.,,,,,,,
2024 - 2025,Cabo Verde, ,CPV,,STA,The figure is from the 2010 census.,,,,,,,
2019,Albania, ,ALB,,STA,The statelessness figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2019.,,,,,,,
2015 - 2017,Serbia and Kosovo: S/RES/1244 (1999), ,SRB,,STA,The great majority are former Yugoslav citizens who have yet to have their Serbian nationality formally recognized through the issuance of documents proving nationality.,,,,,,,
2024,Latvia, ,LVA,,STA,"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 157 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 173,729 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",,,,,,,
2021,Luxembourg, ,LUX,,"REF,ASY,IDP,STA,OOC,HST,OIP","Data is as of end-2020, apart from the data on asylum-seekers, which was sourced from Eurostat.",,,,,,,
2024,Malta, ,MLT,,REF,"The decreased statistical data on refugees and subsidiary protection holders in Malta is primarily attributed to a revised/updated official data shared with UNHCR by the International Protection Agency under the Ministry of Home Affairs,  Security and Employment. The official governmental data (as of June 30, 2024) reflects the active international protection holders residing in Malta.",,,,,,,
2023,Uzbekistan, ,UZB,,STA,The statelessness figure refers to stateless persons with permanent residence in Uzbekistan officially reported by the Government of Uzbekistan to UNHCR as of 31 December 2023. Information on other categories of statelessness is unavailable.,,,,,,,
2015 - 2016,Azerbaijan, ,AZE,,STA,"Figure from 2009 census. 1,640 persons were registered by the Ministry of Interior as stateless at the end of 2012.",,,,,,,
2024,Russian Federation, ,RUS,,REF,"The figure for the Russian Federation includes 6,894 Ukrainians who were granted refugee or temporary asylum status by end-2024. Moreover, as of mid-2023 an estimated 1.2 million Ukrainians were recorded in the Russian Federation under different legal forms of stay (other than refugee or temporary asylum status) and reported by UNHCR as persons in a refugee-like situation. However, this figure has not been updated since June 2023, and therefore can no longer be included in UNHCR’s official statistics for end of 2024.",,,,,,,
2017,Albania, ,ALB,,STA,Figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2017.,,,,,,,
